rgi_id,lake_cat,image_id,image_date,inventory_doi,contributor,comments,notes
RGI2000-v7.0-G-05-04828,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04829,2,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04830,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04831,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04832,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04833,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04834,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04835,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04836,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04837,3,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04838,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04839,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04840,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04841,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04842,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04843,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04844,2,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04845,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04846,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04847,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04848,2,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04849,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04850,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04851,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04852,3,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04853,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04854,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04855,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04856,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04857,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04858,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04859,2,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04860,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04861,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
